time_s,lat,lon,speed_kmh
0.0,42.714403121036085,23.27484570763416,80.0
0.1,42.714400621862545,23.27485338950931,80.0
0.2,42.71440519034477,23.274850068521026,80.0
0.3,42.71441105939854,23.27485191070099,80.0
0.4,42.714407050136714,23.27484499791094,80.0
0.5,42.71441350381261,23.274853947931618,80.0
0.6,42.714412455178504,23.274852902044746,80.0
0.7,42.71442173715121,23.27484885341885,80.0
0.8,42.7144265652032,23.274846003903345,80.0
0.9,42.71442116567878,23.27485400023419,80.0
1.0,42.71442857037182,23.274843035772875,80.0
1.1,42.714429945746524,23.274853925566187,80.0
1.2,42.71443312629829,23.27484478350414,80.0
1.3,42.71443413724196,23.274842155617765,80.0
1.4,42.714439409295096,23.27484679278498,80.0
1.5,42.71443983693306,23.274843900672426,80.0
1.6,42.714444697317774,23.274843310975275,80.0
1.7,42.7144435651121,23.274843737572017,80.0
1.8,42.714451171845425,23.2748499669321,80.0
1.9,42.714450641787884,23.2748470846615,80.0
2.0,42.714459492778225,23.2748508455904,80.0
2.1,42.71445754968982,23.27483964076919,80.0
2.2,42.71446374015812,23.274846409384054,80.0
2.3,42.71446393065438,23.274848436617972,80.0
2.4,42.7144689444769,23.2748465083646,80.0
2.5,42.7144709822907,23.274839415470748,80.0
2.6,42.71447608299456,23.274845815602834,80.0
2.7,42.71447654654522,23.274840497398237,80.0
2.8,42.71447620630415,23.27483400893824,80.0
